frame_idx,timestamp_ms,n_faces,det_score,face_in_square,gate_open,raw,smoothed,verdict,latency_ms,bbox,kps
0,1789832320955.5,1,0.7710,1,1,0.0880,0.0880,0,261.51,[496.  297.2 744.8 602.8],"[[545.5 424.7]
 [648.9 437.1]
 [575.3 501.3]
 [549.3 529.6]
 [626.8 539.3]]"
1,1789832321057.5,1,0.7609,1,1,0.1126,0.1003,0,4.84,[498.1 298.5 746.7 601.4],"[[552.9 423.5]
 [656.  438.9]
 [583.1 500.4]
 [551.3 526.3]
 [629.3 538.6]]"
2,1789832321083.3,1,0.7051,1,1,0.0323,0.0776,0,4.00,[505.7 300.7 748.3 590.2],"[[554.4 424.3]
 [651.8 430.8]
 [586.7 495. ]
 [567.7 524.7]
 [638.  529.4]]"
3,1789832321106.3,1,0.7471,1,1,0.0352,0.0670,0,4.01,[502.9 298.8 746.1 607.5],"[[547.8 426.2]
 [646.4 435.8]
 [574.8 498.7]
 [556.  534.9]
 [628.3 541.9]]"
4,1789832321127.6,1,0.7441,1,1,0.0444,0.0625,0,3.34,[505.5 303.2 747.8 596.3],"[[555.3 428.4]
 [653.  440. ]
 [584.8 502. ]
 [562.2 529.3]
 [633.5 538.1]]"
5,1789832321150.6,1,0.7755,1,1,0.0454,0.0540,0,3.45,[512.6 296.6 751.9 598.2],"[[557.1 424.1]
 [654.2 433.3]
 [585.9 494.9]
 [567.  528. ]
 [638.7 534.7]]"
6,1789832321172.7,1,0.7711,1,1,0.0864,0.0488,0,3.58,[511.6 297.4 755.  598.2],"[[559.5 424.3]
 [659.4 435.6]
 [590.4 498.4]
 [567.1 527.8]
 [642.2 536.2]]"
7,1789832321194.9,1,0.7420,1,1,0.0173,0.0458,0,3.86,[513.2 297.2 754.6 606.8],"[[558.  425.8]
 [658.3 438. ]
 [586.1 501.5]
 [565.3 536.4]
 [636.6 545.4]]"
8,1789832321217.8,1,0.7799,1,1,0.0252,0.0438,0,3.84,[513.7 295.9 753.7 598.9],"[[559.6 421.4]
 [657.3 434.4]
 [585.9 495.9]
 [564.7 528.1]
 [635.  537.9]]"
9,1789832321240.3,1,0.7756,1,1,0.0383,0.0425,0,3.83,[512.1 296.8 753.8 601. ],"[[559.1 423.6]
 [659.6 436.8]
 [587.5 498.4]
 [563.  529.9]
 [636.3 539.9]]"
10,1789832321262.9,1,0.7059,1,1,0.0243,0.0383,0,3.80,[511.8 297.9 751.4 602.1],"[[561.4 424.4]
 [657.7 439.6]
 [587.4 500.5]
 [564.1 530.5]
 [633.3 542.1]]"
11,1789832321295.2,1,0.7889,1,1,0.0482,0.0307,0,4.09,[515.8 296.2 753.5 595. ],"[[559.9 421. ]
 [659.1 432.4]
 [589.7 494.2]
 [567.2 525.5]
 [640.3 534.2]]"
12,1789832321331.4,1,0.7364,1,1,0.0166,0.0305,0,4.16,[515.2 295.6 755.6 595.2],"[[564.4 422.8]
 [659.5 438. ]
 [590.5 497.8]
 [569.1 526.6]
 [636.2 538.1]]"
13,1789832321363.3,1,0.7821,1,1,0.0207,0.0296,0,4.17,[517.8 292.9 754.3 595.8],"[[562.7 419.7]
 [658.2 433.3]
 [587.9 493.3]
 [567.5 525.8]
 [635.9 536. ]]"
14,1789832321399.4,1,0.7803,1,1,0.0254,0.0270,0,4.16,[518.5 293.1 756.7 591.2],"[[562.6 416.6]
 [659.3 430.8]
 [587.9 489.7]
 [567.2 521.4]
 [636.8 532.2]]"
15,1789832321431.3,1,0.7762,1,1,0.0306,0.0283,0,4.11,[524.2 292.8 758.2 590.2],"[[568.3 416.5]
 [662.7 431. ]
 [592.5 488.7]
 [571.7 520.3]
 [640.3 531.3]]"
16,1789832321465.5,1,0.7964,1,1,0.0422,0.0271,0,4.65,[525.3 289.2 767.9 595.1],"[[571.  417.1]
 [669.8 433.5]
 [594.2 493.4]
 [570.3 523.5]
 [642.7 536.1]]"
17,1789832321503.8,1,0.7454,1,1,0.0536,0.0345,0,7.23,[528.5 286.8 769.  598.8],"[[574.1 417.8]
 [671.5 433.4]
 [598.7 493.4]
 [576.1 524.5]
 [648.4 536.4]]"
18,1789832321536.2,1,0.7394,1,1,0.0690,0.0441,0,4.53,[529.2 286.  772.4 601.4],"[[574.2 418.1]
 [672.9 431.5]
 [600.9 494.2]
 [579.3 526.1]
 [653.5 536.3]]"
19,1789832321567.9,1,0.7402,1,1,0.0353,0.0461,0,5.64,[532.7 289.9 769.3 589.6],"[[575.  418.4]
 [671.8 431.5]
 [601.8 492.8]
 [582.4 522.4]
 [652.8 532.1]]"
